id,vestibular,ano,questao_numero,url_github
fuvest-2025-81,FUVEST,2025,81,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/81.json
fuvest-2025-82,FUVEST,2025,82,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/82.json
fuvest-2025-83,FUVEST,2025,83,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/83.json
fuvest-2025-84,FUVEST,2025,84,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/84.json
fuvest-2025-85,FUVEST,2025,85,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/85.json
fuvest-2025-86,FUVEST,2025,86,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/86.json
fuvest-2025-87,FUVEST,2025,87,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/87.json
fuvest-2025-88,FUVEST,2025,88,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/88.json
fuvest-2025-89,FUVEST,2025,89,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/89.json
fuvest-2025-9,FUVEST,2025,9,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/9.json
fuvest-2025-90,FUVEST,2025,90,https://github.com/beatrizmilz/BancoDeQuestoes/blob/main/data-raw/questoes/fuvest/2025/90.json
